상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
츄통령 바삭츄 미니트릿 동결건조 북어 40g,츄통령,"9,800원",대통령배송,"5
(9)",,https://dogpre.com/product/104940?bundleOptionId=265801,https://img.funnc.com/mobile/dogpre/product/105/104940_list_L1_01817669.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 북어 40g
9,800원
5개 구매 시 개당 9,300원
대통령배송
5
(9)"
츄통령 바삭츄 미니트릿 동결건조 순살연어 45g,츄통령,"12,000원",대통령배송,"4.7
(7)",,https://dogpre.com/product/104939?bundleOptionId=265798,https://img.funnc.com/mobile/dogpre/product/105/104939_list_L1_01753831.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 순살연어 45g
16,000원
20% 12,000원
5개 구매 시 개당 11,400원
대통령배송
4.7
(7)"
프레스키 터키츄 칠면조힘줄 스트립 75g,프레스키,"15,000원",대통령배송,"4.9
(38)",,https://dogpre.com/product/87510?bundleOptionId=187939,https://img.funnc.com/mobile/dogpre/product/88/87510_list_L1_01092280.png,"프레스키
프레스키 터키츄 칠면조힘줄 스트립 75g
15,000원
2개 구매 시 개당 13,900원
대통령배송
4.9
(38)"
[원기보양 간식팩] 수제간식 황태채 1개 + 바삭츄 북어 대용량 1개,츄통령,"17,200원",대통령배송,"5
(12)",,https://dogpre.com/product/101846,https://img.funnc.com/mobile/dogpre/product/102/101846_list_L1_01391061.png,"츄통령
[원기보양 간식팩] 수제간식 황태채 1개 + 바삭츄 북어 대용량 1개
17,200원
대통령배송
5
(12)"
츄통령 멍츄 한우 불리스틱 소형 1개입 (12g),츄통령,"4,800원",대통령배송,"4.9
(9,953,095)",,https://dogpre.com/product/86134?bundleOptionId=281386,https://img.funnc.com/mobile/dogpre/product/87/86134_list_L1_01602283.png,"츄통령
츄통령 멍츄 한우 불리스틱 소형 1개입 (12g)
4,800원
6개 구매 시 개당 4,500원
대통령배송
4.9
(9,953,095)"
파머스 덴티츄 구강 관절 캥거루 21개입,파머스,"9,000원",대통령배송,"4.9
(10)",,https://dogpre.com/product/104319,https://img.funnc.com/mobile/dogpre/product/105/104319_list_L1_01086247.png,"파머스
파머스 덴티츄 구강 관절 캥거루 21개입
9,000원
대통령배송
4.9
(10)"
자이언트독 가수분해 대용량 트릿 소고기&단호박 1.1kg,자이언트독,"19,900원",무료배송,"4.8
(12)",,https://dogpre.com/product/96866,https://img.funnc.com/mobile/dogpre/product/97/96866_list_L1_01375503.png,"자이언트독
자이언트독 가수분해 대용량 트릿 소고기&단호박 1.1kg
19,900원
무료배송
4.8
(12)"
파머스러브펫 덴탈 캐롯츄 12개입,파머스러브펫,"9,900원",대통령배송,"4.9
(81)",,https://dogpre.com/product/104219,https://img.funnc.com/mobile/dogpre/product/105/104219_list_L1_01425845.png,"파머스러브펫
파머스러브펫 덴탈 캐롯츄 12개입
9,900원
대통령배송
4.9
(81)"
츄통령 리얼츄 스팀 닭가슴살 4개입,츄통령,"5,200원",대통령배송,"4.9
(830)",,https://dogpre.com/product/80522,https://img.funnc.com/mobile/dogpre/product/81/80522_list_L1_01756806.png,"츄통령
츄통령 리얼츄 스팀 닭가슴살 4개입
5,200원
대통령배송
4.9
(830)"
개꿀 오리고기 저키 70g,개꿀,"3,500원",대통령배송,"4.9
(238)",,https://dogpre.com/product/64429,https://img.funnc.com/mobile/dogpre/product/65/64429_list_L1_01932215.png,"사은품증정
개꿀
개꿀 오리고기 저키 70g
강대할인가 4,500원
22% 3,500원
대통령배송
4.9
(238)"
아스쿠 모정 소고기 저키 140g,아스쿠,"4,500원",대통령배송,"4.7
(1,254)",,https://dogpre.com/product/106495,https://img.funnc.com/mobile/dogpre/product/107/106495_list_L1_01702583.png,"아스쿠
아스쿠 모정 소고기 저키 140g
5,000원
56% 4,500원
대통령배송
4.7
(1,254)"
츄통령 저염황태채 30g,츄통령,"5,200원",대통령배송,"4.8
(206)",,https://dogpre.com/product/101286?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/102/101286_list_L1_01298952.jpg,"츄통령
츄통령 저염황태채 30g
8,000원
56% 5,200원
대통령배송
4.8
(206)"
에프디트릿 오리 240g,에프디트릿,"18,000원",대통령배송,"4.6
(252)",,https://dogpre.com/product/84337,https://img.funnc.com/mobile/dogpre/product/85/84337_list_L1_01593358.png,"에프디트릿
에프디트릿 오리 240g
19,000원
56% 18,000원
대통령배송
4.6
(252)"
안심져키 소고기 스테이크 300g,안심져키,"2,000원",대통령배송,"4.9
(8)",,https://dogpre.com/product/105886,https://img.funnc.com/mobile/dogpre/product/106/105886_list_L1_01175309.jpg,"안심져키
안심져키 소고기 스테이크 300g
5,000원
56% 2,000원
대통령배송
4.9
(8)"
아스쿠 모정 장어 져키 140g,모정,"4,500원",대통령배송,"4.9
(14)",,https://dogpre.com/product/106499,https://img.funnc.com/mobile/dogpre/product/107/106499_list_L1_01494541.png,"모정
아스쿠 모정 장어 져키 140g
4,500원
대통령배송
4.9
(14)"
네츄럴랩 수제간식 오리날개 400g,네츄럴랩,"10,500원",대통령배송,"4.8
(71)",,https://dogpre.com/product/99122,https://img.funnc.com/mobile/dogpre/product/100/99122_list_L1_01820964.png,"네츄럴랩
네츄럴랩 수제간식 오리날개 400g
10,500원
대통령배송
4.8
(71)"
츄통령 멍츄 칠면조힘줄 터키츄 스틱 100g,츄통령,"18,500원",대통령배송,"4.9
(1,001)",,https://dogpre.com/product/87028,https://img.funnc.com/mobile/dogpre/product/88/87028_list_L1_01764881.png,"츄통령
츄통령 멍츄 칠면조힘줄 터키츄 스틱 100g
18,500원
대통령배송
4.9
(1,001)"
츄통령 바삭츄 동결건조 열빙어 65g,츄통령,"13,000원",대통령배송,"4.9
(834)",,https://dogpre.com/product/82075,https://img.funnc.com/mobile/dogpre/product/83/82075_list_L1_01924139.png,"츄통령
츄통령 바삭츄 동결건조 열빙어 65g
13,000원
대통령배송
4.9
(834)"
아르테미스 제스퍼 저키 양고기 400g,아르테미스,"6,000원",대통령배송,"4.7
(3,071)",,https://dogpre.com/product/15447,https://img.funnc.com/mobile/dogpre/product/16/15447_list_L1_01948627.png,"아르테미스
아르테미스 제스퍼 저키 양고기 400g
6,000원
대통령배송
4.7
(3,071)"
츄통령 닭가슴살 70g,츄통령,"7,200원",대통령배송,"4.9
(149)",,https://dogpre.com/product/101285?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/102/101285_list_L1_01042649.jpg,"츄통령
츄통령 닭가슴살 70g
7,200원
대통령배송
4.9
(149)"
츄통령 덴탈츄 오리지널 30개입 450g,츄통령,"18,900원",대통령배송,"4.9
(120)",,https://dogpre.com/product/104418,https://img.funnc.com/mobile/dogpre/product/105/104418_list_L1_01799242.png,"츄통령
츄통령 덴탈츄 오리지널 30개입 450g
18,900원
대통령배송
4.9
(120)"
츄통령 바삭츄 동결건조 닭가슴살 대용량 100g,츄통령,"15,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/89795?bundleOptionId=201538,https://img.funnc.com/mobile/dogpre/product/90/89795_list_L1_01586375.png,"츄통령
츄통령 바삭츄 동결건조 닭가슴살 대용량 100g
15,000원
5개 구매 시 개당 14,200원
대통령배송
4.9
(2,264)"
츄통령 바삭츄 동결건조 순살연어 대용량 85g,츄통령,"18,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/89794?bundleOptionId=201574,https://img.funnc.com/mobile/dogpre/product/90/89794_list_L1_01642253.png,"츄통령
츄통령 바삭츄 동결건조 순살연어 대용량 85g
18,000원
5개 구매 시 개당 17,200원
대통령배송
4.9
(2,264)"
[베스트팩] 츄통령 바삭츄 동결건조 대용량 2종 콤보,츄통령,"24,900원",대통령배송,"5
(45)",,https://dogpre.com/product/100338,https://img.funnc.com/mobile/dogpre/product/101/100338_list_L1_01859786.png,"츄통령
[베스트팩] 츄통령 바삭츄 동결건조 대용량 2종 콤보
24,900원
대통령배송
5
(45)"
포켄스 뉴트리션 트릿 피부&피모 800g,포켄스,"47,000원",대통령배송,"4.8
(56)",,https://dogpre.com/product/74254,https://img.funnc.com/mobile/dogpre/product/75/74254_list_L1_01276551.png,"포켄스
포켄스 뉴트리션 트릿 피부&피모 800g
47,000원
대통령배송
4.8
(56)"
츄통령 바삭츄 동결건조 산양유치즈 23g,츄통령,"3,900원",대통령배송,"4.8
(2,364)",,https://dogpre.com/product/82078?bundleOptionId=255801,https://img.funnc.com/mobile/dogpre/product/83/82078_list_L1_01337219.png,"츄통령
츄통령 바삭츄 동결건조 산양유치즈 23g
3,900원
6개 구매 시 개당 1,790원
대통령배송
4.8
(2,364)"
[유통기한 25.07.17] 츄통령 멍츄 산양유 우피스틱 35g,츄통령,"2,500원",대통령배송,"4.6
(1,314)",,https://dogpre.com/product/106527,https://img.funnc.com/mobile/dogpre/product/107/106527_list_L1_01331425.png,"츄통령
[유통기한 25.07.17] 츄통령 멍츄 산양유 우피스틱 35g
2,500원
대통령배송
4.6
(1,314)"
츄통령 리얼츄 스팀 닭가슴살 대용량 30개입,츄통령,"35,800원",대통령배송,"4.9
(830)",,https://dogpre.com/product/104398,https://img.funnc.com/mobile/dogpre/product/105/104398_list_L1_01145534.png,"츄통령
츄통령 리얼츄 스팀 닭가슴살 대용량 30개입
35,800원
대통령배송
4.9
(830)"
츄통령 바삭츄 동결건조 북어 대용량 75g,츄통령,"13,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/89793?bundleOptionId=201577,https://img.funnc.com/mobile/dogpre/product/90/89793_list_L1_01915043.png,"츄통령
츄통령 바삭츄 동결건조 북어 대용량 75g
13,000원
5개 구매 시 개당 12,300원
대통령배송
4.9
(2,264)"
네츄럴코어 하루유산균 혼합 36개입,네츄럴코어,"9,300원",대통령배송,"4.8
(18,366)",,https://dogpre.com/product/93590,https://img.funnc.com/mobile/dogpre/product/94/93590_list_L1_01303690.png,"네츄럴코어
네츄럴코어 하루유산균 혼합 36개입
9,300원
대통령배송
4.8
(18,366)"
츄통령 바삭츄 동결건조 노른자 90g,츄통령,"9,000원",대통령배송,"4.9
(2,264)",,https://dogpre.com/product/98153?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/99/98153_list_L1_01414091.png,"츄통령
츄통령 바삭츄 동결건조 노른자 90g
9,000원
대통령배송
4.9
(2,264)"
츄통령 덴탈츄 블루베리 30개입 450g,츄통령,"18,900원",대통령배송,"4.8
(1,852)",,https://dogpre.com/product/102223,https://img.funnc.com/mobile/dogpre/product/103/102223_list_L1_06247524.png,"츄통령
츄통령 덴탈츄 블루베리 30개입 450g
18,900원
대통령배송
4.8
(1,852)"
츄통령 멍츄 칠면조힘줄 터키츄 링 10g,츄통령,"2,600원",대통령배송,"4.9
(2,547)",,https://dogpre.com/product/87029?bundleOptionId=201536,https://img.funnc.com/mobile/dogpre/product/88/87029_list_L1_01515148.png,"츄통령
츄통령 멍츄 칠면조힘줄 터키츄 링 10g
2,600원
10개 구매 시 개당 2,250원
대통령배송
4.9
(2,547)"
아스쿠 프리미엄 소고기 저키 800g,아스쿠,"13,500원",대통령배송,"4.6
(433)",,https://dogpre.com/product/106846,https://img.funnc.com/mobile/dogpre/product/107/106846_list_L1_01368503.png,"아스쿠
아스쿠 프리미엄 소고기 저키 800g
13,500원
대통령배송
4.6
(433)"
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입,네츄럴랩,"3,500원",대통령배송,"4.8
(17)",,https://dogpre.com/product/106845,https://img.funnc.com/mobile/dogpre/product/107/106845_list_L1_01105257.png,"네츄럴랩
[유통기한 25.07.18]네츄럴랩 치카치카 우유 치실껌 M 3개입
3,500원
대통령배송
4.8
(17)"
[유통기한 25.05.28] 개꿀 저키 70g 맛랜덤,개꿀,"1,500원",대통령배송,"4.7
(275)",,https://dogpre.com/product/106663,https://img.funnc.com/mobile/dogpre/product/107/106663_list_L1_01096595.jpg,"개꿀
[유통기한 25.05.28] 개꿀 저키 70g 맛랜덤
1,500원
대통령배송
4.7
(275)"
아스쿠 모정 연어 저키 140g,아스쿠,"4,500원",대통령배송,"4.7
(135)",,https://dogpre.com/product/106511,https://img.funnc.com/mobile/dogpre/product/107/106511_list_L1_01020845.png,"아스쿠
아스쿠 모정 연어 저키 140g
5,000원
45% 4,500원
대통령배송
4.7
(135)"
아스쿠 모정 장어&소고기 져키 120g,아스쿠,"6,300원",대통령배송,"4.8
(27)",,https://dogpre.com/product/106502,https://img.funnc.com/mobile/dogpre/product/107/106502_list_L1_01706260.png,"아스쿠
아스쿠 모정 장어&소고기 져키 120g
6,300원
대통령배송
4.8
(27)"
아스쿠 모정 사슴고기 저키 120g,아스쿠,"6,300원",대통령배송,"4.7
(225)",,https://dogpre.com/product/106500,https://img.funnc.com/mobile/dogpre/product/107/106500_list_L1_01391494.png,"아스쿠
아스쿠 모정 사슴고기 저키 120g
6,300원
대통령배송
4.7
(225)"
아스쿠 모정 양고기&어포샌드 저키 100g,아스쿠,"4,500원",대통령배송,"4.6
(429)",,https://dogpre.com/product/106498,https://img.funnc.com/mobile/dogpre/product/107/106498_list_L1_01190450.png,"아스쿠
아스쿠 모정 양고기&어포샌드 저키 100g
4,500원
대통령배송
4.6
(429)"
아스쿠 모정 오리고기 저키 140g,아스쿠,"4,500원",대통령배송,"4.6
(481)",,https://dogpre.com/product/106497,https://img.funnc.com/mobile/dogpre/product/107/106497_list_L1_01496868.png,"아스쿠
아스쿠 모정 오리고기 저키 140g
4,500원
대통령배송
4.6
(481)"
개꿀 한입크기 소고기 저키 70g,개꿀,"3,500원",대통령배송,"4.9
(15)",,https://dogpre.com/product/106493,https://img.funnc.com/mobile/dogpre/product/107/106493_list_L1_01816483.png,"개꿀
개꿀 한입크기 소고기 저키 70g
3,500원
대통령배송
4.9
(15)"
개꿀 소고기 저키 70g,개꿀,"3,500원",대통령배송,"4.8
(237)",,https://dogpre.com/product/106488,https://img.funnc.com/mobile/dogpre/product/107/106488_list_L1_01001404.png,"개꿀
개꿀 소고기 저키 70g
3,500원
대통령배송
4.8
(237)"
츄통령 멍츄 한우 불리스틱 소형 3개입 (35g) 3묶음,츄통령,"37,500원",대통령배송,"4.9
(9,953,995)",,https://dogpre.com/product/86135?bundleOptionId=281389,https://img.funnc.com/mobile/dogpre/product/107/106437_list_L1_8972.png,"츄통령
츄통령 멍츄 한우 불리스틱 소형 3개입 (35g) 3묶음
37,500원
대통령배송
4.9
(9,953,995)"
츄통령 멍츄 한우 불리스틱 소형 1개입 (12g) 6묶음,츄통령,"27,000원",대통령배송,"4.9
(9,953,095)",,https://dogpre.com/product/86134?bundleOptionId=281387,https://img.funnc.com/mobile/dogpre/product/107/106436_list_L1_1726.png,"츄통령
츄통령 멍츄 한우 불리스틱 소형 1개입 (12g) 6묶음
27,000원
대통령배송
4.9
(9,953,095)"
찹찹츄 치킨 큐브 300g,찹찹츄,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/106303,https://img.funnc.com/mobile/dogpre/product/107/106303_list_L1_01700170.jpg,"찹찹츄
찹찹츄 치킨 큐브 300g
2,000원
대통령배송
5
(1)"
찹찹츄 오리 스테이크 300g,찹찹츄,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/106302,https://img.funnc.com/mobile/dogpre/product/107/106302_list_L1_01670782.jpg,"찹찹츄
찹찹츄 오리 스테이크 300g
2,000원
대통령배송
5
(1)"
찹찹츄 오리 큐브 300g,찹찹츄,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/106301,https://img.funnc.com/mobile/dogpre/product/107/106301_list_L1_01231702.jpg,"찹찹츄
찹찹츄 오리 큐브 300g
2,000원
대통령배송
5
(2)"
찹찹츄 소고기 스테이크 300g,찹찹츄,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/106298,https://img.funnc.com/mobile/dogpre/product/107/106298_list_L1_01708332.jpg,"찹찹츄
찹찹츄 소고기 스테이크 300g
2,000원
대통령배송
5
(1)"
찹찹츄 소고기 큐브 300g,찹찹츄,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/106297,https://img.funnc.com/mobile/dogpre/product/107/106297_list_L1_01421189.jpg,"찹찹츄
찹찹츄 소고기 큐브 300g
2,000원
대통령배송
5
(2)"
[유통기한 25.06.25] 네츄럴코어 델리쉬 사슴&후코이단 20g,네츄럴코어,"1,000원",대통령배송,"4.9
(39)",,https://dogpre.com/product/106119,https://img.funnc.com/mobile/dogpre/product/107/106119_list_L1_01588901.png,"네츄럴코어
[유통기한 25.06.25] 네츄럴코어 델리쉬 사슴&후코이단 20g
1,000원
대통령배송
4.9
(39)"
네츄럴랩 건강한치즈 볼 딸기 120g,네츄럴랩,"6,000원",대통령배송,"4.8
(34)",,https://dogpre.com/product/105947,https://img.funnc.com/mobile/dogpre/product/106/105947_list_L1_01231678.png,"네츄럴랩
네츄럴랩 건강한치즈 볼 딸기 120g
7,500원
27% 6,000원
대통령배송
4.8
(34)"
안심져키 양고기 큐브 300g,안심져키,"2,000원",대통령배송,"4.9
(7)",,https://dogpre.com/product/105891,https://img.funnc.com/mobile/dogpre/product/106/105891_list_L1_01208774.jpg,"안심져키
안심져키 양고기 큐브 300g
2,000원
대통령배송
4.9
(7)"
안심져키 양고기 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(4)",,https://dogpre.com/product/105890,https://img.funnc.com/mobile/dogpre/product/106/105890_list_L1_01406198.jpg,"안심져키
안심져키 양고기 슬라이스 300g
2,000원
대통령배송
5
(4)"
안심져키 양고기 스테이크 300g,안심져키,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105889,https://img.funnc.com/mobile/dogpre/product/106/105889_list_L1_01147141.jpg,"안심져키
안심져키 양고기 스테이크 300g
2,000원
대통령배송
5
(2)"
안심져키 소고기 큐브 300g,안심져키,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105888,https://img.funnc.com/mobile/dogpre/product/106/105888_list_L1_01873046.jpg,"안심져키
안심져키 소고기 큐브 300g
2,000원
대통령배송
5
(2)"
안심져키 소고기 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105887,https://img.funnc.com/mobile/dogpre/product/106/105887_list_L1_01747393.jpg,"안심져키
안심져키 소고기 슬라이스 300g
2,000원
대통령배송
5
(3)"
안심져키 치킨 스테이크 300g,안심져키,"2,000원",대통령배송,"5
(4)",,https://dogpre.com/product/105885,https://img.funnc.com/mobile/dogpre/product/106/105885_list_L1_01751010.jpg,"안심져키
안심져키 치킨 스테이크 300g
2,000원
대통령배송
5
(4)"
안심져키 치킨 큐브 300g,안심져키,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/105884,https://img.funnc.com/mobile/dogpre/product/106/105884_list_L1_01188504.jpg,"안심져키
안심져키 치킨 큐브 300g
2,000원
대통령배송
5
(1)"
안심져키 치킨 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105883,https://img.funnc.com/mobile/dogpre/product/106/105883_list_L1_01289735.jpg,"안심져키
안심져키 치킨 슬라이스 300g
2,000원
대통령배송
5
(3)"
안심져키 오리 큐브 300g,안심져키,"2,000원",대통령배송,"5
(1)",,https://dogpre.com/product/105882,https://img.funnc.com/mobile/dogpre/product/106/105882_list_L1_01253725.jpg,"안심져키
안심져키 오리 큐브 300g
2,000원
대통령배송
5
(1)"
안심져키 오리 스테이크 300g,안심져키,"2,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105881,https://img.funnc.com/mobile/dogpre/product/106/105881_list_L1_01826530.jpg,"안심져키
안심져키 오리 스테이크 300g
2,000원
대통령배송
5
(3)"
안심져키 오리 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105880,https://img.funnc.com/mobile/dogpre/product/106/105880_list_L1_01368800.jpg,"안심져키
안심져키 오리 슬라이스 300g
2,000원
대통령배송
5
(2)"
통영 장어 져키 100g,통영 굴,"5,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105791,https://img.funnc.com/mobile/dogpre/product/106/105791_list_L1_01552531.jpg,"통영 굴
통영 장어 져키 100g
5,000원
대통령배송
5
(3)"
통영 굴 져키 100g,통영 굴,"5,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105790,https://img.funnc.com/mobile/dogpre/product/106/105790_list_L1_01513018.jpg,"통영 굴
통영 굴 져키 100g
5,000원
대통령배송
5
(2)"
통영 멸치 져키 100g,통영 굴,"5,000원",대통령배송,"5
(4)",,https://dogpre.com/product/105789,https://img.funnc.com/mobile/dogpre/product/106/105789_list_L1_01361061.jpg,"통영 굴
통영 멸치 져키 100g
5,000원
대통령배송
5
(4)"
네츄럴코어 치즈 에그롤 150g,네츄럴코어,"4,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105672,https://img.funnc.com/mobile/dogpre/product/106/105672_list_L1_01986103.png,"네츄럴코어
네츄럴코어 치즈 에그롤 150g
4,000원
25% 4,000원
대통령배송
5
(2)"
네츄럴코어 심플리 치킨 60g,네츄럴코어,"6,500원",대통령배송,"5
(10)",,https://dogpre.com/product/105670,https://img.funnc.com/mobile/dogpre/product/106/105670_list_L1_01795603.png,"네츄럴코어
네츄럴코어 심플리 치킨 60g
6,500원
25% 6,500원
대통령배송
5
(10)"
네츄럴코어 심플리 덕 60g,네츄럴코어,"6,500원",대통령배송,"5
(10)",,https://dogpre.com/product/105669,https://img.funnc.com/mobile/dogpre/product/106/105669_list_L1_01465404.png,"네츄럴코어
네츄럴코어 심플리 덕 60g
6,500원
25% 6,500원
대통령배송
5
(10)"
네츄럴코어 심플리 살몬 60g,네츄럴코어,"6,500원",대통령배송,"4.8
(8)",,https://dogpre.com/product/105668,https://img.funnc.com/mobile/dogpre/product/106/105668_list_L1_01076097.png,"네츄럴코어
네츄럴코어 심플리 살몬 60g
6,500원
25% 6,500원
대통령배송
4.8
(8)"
네츄럴코어 심플리 요거트 치킨 크랜베리 60g,네츄럴코어,"7,500원",대통령배송,"4.9
(11)",,https://dogpre.com/product/105667,https://img.funnc.com/mobile/dogpre/product/106/105667_list_L1_01478183.png,"네츄럴코어
네츄럴코어 심플리 요거트 치킨 크랜베리 60g
7,500원
대통령배송
4.9
(11)"
네츄럴코어 심플리 요거트 치킨 60g,네츄럴코어,"7,500원",대통령배송,"5
(11)",,https://dogpre.com/product/105666,https://img.funnc.com/mobile/dogpre/product/106/105666_list_L1_01257446.png,"네츄럴코어
네츄럴코어 심플리 요거트 치킨 60g
7,500원
대통령배송
5
(11)"
네츄럴랩 수제 치킨까스 100g,네츄럴랩,"3,550원",대통령배송,"4.8
(5)",,https://dogpre.com/product/105566,https://img.funnc.com/mobile/dogpre/product/106/105566_list_L1_01167332.jpg,"1일 남음
네츄럴랩
네츄럴랩 수제 치킨까스 100g
5,000원
29% 3,550원
대통령배송
4.8
(5)"
츄통령 바삭츄 미니트릿 동결건조 북어 40g 5묶음,츄통령,"46,500원",대통령배송,"5
(9)",,https://dogpre.com/product/104940?bundleOptionId=265803,https://img.funnc.com/mobile/dogpre/product/106/105405_list_L1_5217.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 북어 40g 5묶음
46,500원
대통령배송
5
(9)"
츄통령 바삭츄 미니트릿 동결건조 북어 40g 2묶음,츄통령,"19,000원",대통령배송,"5
(9)",,https://dogpre.com/product/104940?bundleOptionId=265802,https://img.funnc.com/mobile/dogpre/product/106/105404_list_L1_9074.png,"츄통령
츄통령 바삭츄 미니트릿 동결건조 북어 40g 2묶음
19,000원
대통령배송
5
(9)"
